#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,GMD ,,,,,,
1,GMD high voltage,,,,,,
,,EM1K0:GMD:HPS:NumSamples,Number of samples for pulse,TRUE,0,,
2,GMD timing system,,,,,,
,,TPR:EM1K0:GMD:0:RXLNKSTATUS,Timing status,TRUE,0,,
,,EM1K0:GMD:HPS:TCRB1:OUTPUTCONFIG,Timing source,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG01_SOURCE,Calculation trigger source,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH01_SYS0_TCTL,Calculation channel enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG01_SYS0_TCTL,Calculation trigger enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH01_EVCODE,Calculation event code,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG01_SYS0_TDES,Calculation trigger delay,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH01_RATE,Calculation event rate,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG13_SOURCE,Waveform trigger source,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH13_SYS0_TCTL,Waveform channel enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG13_SYS0_TCTL,Waveform trigger enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH13_EVCODE,Waveform event code,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG13_SYS0_TDES,Waveform trigger delay,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH13_RATE,Waveform event rate,TRUE,0,,
0,Vacuum,,,,,,
1,RTDSK0 VCG,,,,,,
,,RTDSK0:VGC:1:POS_STATE_RBV,Valve position ,TRUE,0,,
,,RTDSK0:VGC:1:STATE_RBV,valve state,TRUE,0,,
,,RTDSK0:VGC:1:FORCE_OPN_RBV,Epics Command to force open the valve in override mode,TRUE,0,,
,,RTDSK0:VGC:1:OVRD_ON_RBV,Epics Readback on Override mode,TRUE,0,,
,,RTDSK0:VGC:1:EXT_ILK_OK_RBV,External interlock ok,TRUE,0,,
,,RTDSK0:VGC:1:OPN_OK_RBV,Valve is OK to Open interlock,TRUE,0,,
,,RTDSK0:VGC:1:ERROR_RBV,Error Present,TRUE,0,,
,,RTDSK0:VGC:1:AT_VAC_RBV,at vacuum setpoint is reached,TRUE,0,,
,,RTDSK0:VGC:1:ERR_DifPres_RBV,,TRUE,0,,
,,RTDSK0:VGC:1:ERR_SP_RBV,,TRUE,0,,
,,RTDSK0:VGC:1:ERR_Ext_RBV,,TRUE,0,,
,,RTDSK0:VGC:1:MPS_OK_RBV,,TRUE,0,,
,,RTDSK0:VGC:1:AT_VAC_SP_RBV,AT VAC Set point value,TRUE,0,,
1,RTDSK0 GPI,,,,,,
,,RTDSK0:GPI:1:STATE_RBV,state of the gauge,TRUE,0,,
,,RTDSK0:GPI:1:PRESS_RBV,gauge pressure reading,TRUE,0,,
,,RTDSK0:GPI:1:VAC_SP_RBV,At vacuum setpoint for all gauges,TRUE,0,,
,,RTDSK0:GPI:1:PRO_SP_RBV,Protection setpoint for ion gauges at which the gauge turns off,TRUE,0,,
,,RTDSK0:GPI:1:SP_HYS_RBV,Protection setpoint hysteresis,TRUE,0,,
1,RTDSK0 GCC,,,,,,
,,RTDSK0:GCC:1:STATE_RBV,state of the gauge,TRUE,0,,
,,RTDSK0:GCC:1:PRESS_RBV,gauge pressure reading,TRUE,0,,
,,RTDSK0:GCC:1:PRO_SP_RBV,Protection setpoint for ion gauges at which the gauge turns off,TRUE,0,,
,,RTDSK0:GCC:1:SP_HYS_RBV,Protection setpoint hysteresis,TRUE,0,,
1,RTDSK0 PIP,,,,,,
2,PIP 1,,,,,,
,,RTDSK0:PIP:1:STATE_RBV,Valve state,TRUE,0,,
,,RTDSK0:PIP:1:ILK_OK_RBV,interlock ok,TRUE,0,,
,,RTDSK0:PIP:1:ERROR_RBV,Error Present,TRUE,0,,
,,RTDSK0:PIP:1:HV_SW_RBV,hi voltage switch,TRUE,0,,
,,RTDSK0:PIP:1:Auto_On_RBV,Setting to automatically turn on the ion pump when the reference gauge pressure is below protection setpoint,TRUE,0,,
,,RTDSK0:PIP:1:OVRD_ON_RBV,Regional Override Status,TRUE,0,,
,,RTDSK0:PIP:1:AT_VAC_SP_RBV,Protection/At Vacuum Setpoint,TRUE,0,,
,,RTDSK0:PIP:1:PRESS_RBV,pressure reading,TRUE,0,,
2,PIP 2,,,,,,
,,RTDSK0:PIP:2:STATE_RBV,Valve state,TRUE,0,,
,,RTDSK0:PIP:2:ILK_OK_RBV,interlock ok,TRUE,0,,
,,RTDSK0:PIP:2:ERROR_RBV,Error Present,TRUE,0,,
,,RTDSK0:PIP:2:HV_SW_RBV,hi voltage switch,TRUE,0,,
,,RTDSK0:PIP:2:Auto_On_RBV,Setting to automatically turn on the ion pump when the reference gauge pressure is below protection setpoint,TRUE,0,,
,,RTDSK0:PIP:2:OVRD_ON_RBV,Regional Override Status,TRUE,0,,
,,RTDSK0:PIP:2:AT_VAC_SP_RBV,Protection/At Vacuum Setpoint,TRUE,0,,
,,RTDSK0:PIP:2:PRESS_RBV,pressure reading,TRUE,0,,
2,PIP 3,,,,,,
,,RTDSK0:PIP:3:STATE_RBV,Valve state,TRUE,0,,
,,RTDSK0:PIP:3:ILK_OK_RBV,interlock ok,TRUE,0,,
,,RTDSK0:PIP:3:ERROR_RBV,Error Present,TRUE,0,,
,,RTDSK0:PIP:3:HV_SW_RBV,hi voltage switch,TRUE,0,,
,,RTDSK0:PIP:3:Auto_On_RBV,Setting to automatically turn on the ion pump when the reference gauge pressure is below protection setpoint,TRUE,0,,
,,RTDSK0:PIP:3:OVRD_ON_RBV,Regional Override Status,TRUE,0,,
,,RTDSK0:PIP:3:AT_VAC_SP_RBV,Protection/At Vacuum Setpoint,TRUE,0,,
,,RTDSK0:PIP:3:PRESS_RBV,pressure reading,TRUE,0,,
