#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,GMD ,,,,,,
1,GMD high voltage,,,,,,
,,EM1K0:GMD:HPS:NumSamples,Number of samples for pulse,TRUE,0,,
2,GMD timing system,,,,,,
,,TPR:EM1K0:GMD:0:RXLNKSTATUS,Timing status,TRUE,0,,
,,EM1K0:GMD:HPS:TCRB1:OUTPUTCONFIG,Timing source,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG01_SOURCE,Calculation trigger source,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH01_SYS0_TCTL,Calculation channel enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG01_SYS0_TCTL,Calculation trigger enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH01_EVCODE,Calculation event code,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG01_SYS0_TDES,Calculation trigger delay,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH01_RATE,Calculation event rate,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG13_SOURCE,Waveform trigger source,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH13_SYS0_TCTL,Waveform channel enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG13_SYS0_TCTL,Waveform trigger enabled,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH13_EVCODE,Waveform event code,TRUE,0,,
,,TPR:EM1K0:GMD:0:TRG13_SYS0_TDES,Waveform trigger delay,TRUE,0,,
,,TPR:EM1K0:GMD:0:CH13_RATE,Waveform event rate,TRUE,0,,
0,XGM,,,,,,
1,XGMD high voltage,,,,,,
,,EM2K0:XGMD:SHV:01:Crate:StatusHigh.B0,High voltage crate powered on for GMD and XGMD,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:isSafetyLoopGood,Safety loop is good,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C2:isOn,Electron mesh powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C2:VoltageMeasure,Electron mesh voltage,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C3:isOn,Electron FC powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C3:VoltageMeasure,Electron FC voltage,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C12:isOn,Ion mesh powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C12:VoltageMeasure,Ion mesh voltage,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C13:isOn,Electron multiplier powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C13:VoltageMeasure,Electron multiplier voltage,TRUE,0,,
1,XGMD spinning rotor gauge,,,,,,
,,EM2K0:XGMD:GSR:1:GetRotSpeed,Rotation speed,TRUE,0,,
,,EM2K0:XGMD:GSR:1:Calib:Pressure:Calc,Pressure,TRUE,0,,
1,XGMD Keithley,,,,,,
,,EM2K0:XGMD:ETM:01:SelectCurrentRange,Current range Keithley 1,TRUE,0,,
,,EM2K0:XGMD:ETM:01:Reading,Current is changing Keithley 1,TRUE,0,,
,,EM2K0:XGMD:ETM:01:GetAvgCount,Reading to average Keithley 1,TRUE,0,,
,,EM2K0:XGMD:ETM:01:AvgEnable,Averaging on Keithley 1,TRUE,0,,
,,EM2K0:XGMD:ETM:01:PutDamping,Damping on Keithley 1,TRUE,0,,
,,EM2K0:XGMD:ETM:01:PutAutoRange,Autorange off Keithley 1,TRUE,0,,
,,EM2K0:XGMD:ETM:01:PutFunction,Measurement function Keithley 1,TRUE,0,,
,,EM2K0:XGMD:ETM:02:SelectCurrentRange,Current range Keithley 2,TRUE,0,,
,,EM2K0:XGMD:ETM:02:Reading,Current is changing Keithley 2,TRUE,0,,
,,EM2K0:XGMD:ETM:02:GetAvgCount,Reading to average Keithley 2,TRUE,0,,
,,EM2K0:XGMD:ETM:02:AvgEnable,Averaging on Keithley 2,TRUE,0,,
,,EM2K0:XGMD:ETM:02:PutDamping,Damping on Keithley 2,TRUE,0,,
,,EM2K0:XGMD:ETM:02:PutAutoRange,Autorange off Keithley 2,TRUE,0,,
,,EM2K0:XGMD:ETM:02:PutFunction,Measurement function Keithley 2,TRUE,0,,
1,XGMD chamber temperature,,,,,,
,,EM2K0:XGMD:RTD:1:TEMP_RBV,Temperature,TRUE,0,,
1,XGMD machine input data,,,,,,
,,EVNT:SYS0:1:NC_SOFTRATE ,Beam rate,TRUE,0,,
,,SIOC:SYS0:ML00:AO628 ,Wavelength from accelerator,TRUE,0,,
1,XGMD ATCA system,,,,,,
2,XGMD ATCA digitizer,,,,,,
,,EM2K0:XGMD:HPS:NumSamples,Number of samples for pulse,TRUE,0,,
2,XGMD timing system,,,,,,
,,TPR:EM2K0:XGMD:0:RXLNKSTATUS,Timing status,TRUE,0,,
,,EM2K0:XGMD:HPS:TCRB1:OUTPUTCONFIG,Timing source,TRUE,0,,
,,TPR:EM2K0:XGMD:0:TRG01_SOURCE,Calculation trigger source,TRUE,0,,
,,TPR:EM2K0:XGMD:0:CH01_SYS0_TCTL,Calculation channel enabled,TRUE,0,,
,,TPR:EM2K0:XGMD:0:TRG01_SYS0_TCTL,Calculation trigger enabled,TRUE,0,,
,,TPR:EM2K0:XGMD:0:CH01_EVCODE,Calculation event code,TRUE,0,,
,,TPR:EM2K0:XGMD:0:TRG01_SYS0_TDES,Calculation trigger delay,TRUE,0,,
,,TPR:EM2K0:XGMD:0:CH01_RATE,Calculation event rate,TRUE,0,,
,,TPR:EM2K0:XGMD:0:TRG13_SOURCE,Waveform trigger source,TRUE,0,,
,,TPR:EM2K0:XGMD:0:CH13_SYS0_TCTL,Waveform channel enabled,TRUE,0,,
,,TPR:EM2K0:XGMD:0:TRG13_SYS0_TCTL,Waveform trigger enabled,TRUE,0,,
,,TPR:EM2K0:XGMD:0:CH13_EVCODE,Waveform event code,TRUE,0,,
,,TPR:EM2K0:XGMD:0:TRG13_SYS0_TDES,Waveform trigger delay,TRUE,0,,
,,TPR:EM2K0:XGMD:0:CH13_RATE,Waveform event rate,TRUE,0,,
