#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,GMD ,,,,,,
1,GMD high voltage,,,,,,
,,TPR:FEES:GD01:0:CH05_DESTMASK,Full rate calc channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD01:0:CH05_RATEMODE,Full rate calc channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD01:0:CH05_FIXEDRATE,Full rate calc channel fixed rate,FALSE,0,,
,,TPR:FEES:GD01:0:TRG11_SOURCE,Diag bus trigger source,FALSE,0,,
,,TPR:FEES:GD01:0:TRG11_SYS0_TCTL,Diag bus trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG11_SYS0_TDES,Diag bus trigger NC delay,FALSE,0,,
,,TPR:FEES:GD01:0:TRG11_SYS2_TCTL,Diag bus trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG11_SYS2_TDES,Diag bus trigger SC delay,FALSE,0,,
,,TPR:FEES:GD01:0:CH11_SYS0_TCTL,Diag bus channel NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:CH11_EVCODE,Diag bus channel NC event code,FALSE,0,,
,,TPR:FEES:GD01:0:CH11_SYS2_TCTL,Diag bus channel SC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:CH11_DESTMODE,Diag bus channel SC destination mode,FALSE,0,,
,,TPR:FEES:GD01:0:CH11_DESTMASK,Diag bus channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD01:0:CH11_RATEMODE,Diag bus channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD01:0:CH11_FIXEDRATE,Diag bus channel fixed rate,FALSE,0,,
,,TPR:FEES:GD01:0:TRG13_SOURCE,Waveform trigger source,FALSE,0,,
,,TPR:FEES:GD01:0:TRG13_SYS0_TCTL,Waveform trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG13_SYS0_TDES,Waveform trigger NC delay,FALSE,0,,
,,TPR:FEES:GD01:0:TRG13_SYS2_TCTL,Waveform trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG13_SYS2_TDES,Waveform trigger SC delay,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_SYS0_TCTL,Waveform channel NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_EVCODE,Waveform channel NC event code,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_RATE,Waveform event rate,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_SYS2_TCTL,Waveform channel SC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_DESTMODE,Waveform channel SC destination mode,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_DESTMASK,Waveform channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_RATEMODE,Waveform channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_SEQNUM,Waveform channel sequence engine,FALSE,0,,
,,TPR:FEES:GD01:0:CH13_SEQBIT,Waveform channel sequence bit,FALSE,0,,
1,GMD Pre-Amplifier,,,,,,
,,EM1K0:GMD:HPS:AMP_PREATTN_DIFF,PRE attennuator diff,FALSE,0,,
,,EM1K0:GMD:HPS:AMP_POSATTN_DIFF,POS attennuator diff,FALSE,0,,
0,XGMD,,,,,,
1,XGMD high voltage,,,,,,
,,EM2K0:XGMD:SHV:01:Crate:PowerOn,High voltage crate powered on for GMD and XGMD,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:isSafetyLoopGood,Safety loop is good,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C2:isOn,Electron mesh powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C2:VoltageMeasure,Electron mesh voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C2:VoltageMeasureDiff,Electron mesh voltage diff from set value,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C3:isOn,Electron FC powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C3:VoltageMeasure,Electron FC voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C3:VoltageMeasureDiff,Electron FC voltage diff from set value,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C12:isOn,Ion mesh powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C12:VoltageMeasure,Ion mesh voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C12:VoltageMeasureDiff,Ion mesh voltage diff from set value,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C13:isOn,Electron multiplier powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C13:VoltageMeasure,Electron multiplier voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C13:VoltageMeasureDiff,Electron multiplier voltage diff from set value,FALSE,0,,
1,XGMD spinning rotor gauge,,,,,,
,,EM2K0:XGMD:GSR:1:GetRotSpeed,Rotation speed,FALSE,0,,
,,EM2K0:XGMD:GSR:1:Calib:Pressure:Calc,Pressure,FALSE,0,,
,,EM2K0:XGMD:GSR:1:GetMeasureTime,Measurement Time,FALSE,0,,
,,EM2K0:XGMD:GSR:1:Calib:AccomFactor,Accomodation factor,FALSE,0,,
,,EM2K0:XGMD:GSR:1:Calib:BallDensity,Ball Density,FALSE,0,,
,,EM2K0:XGMD:GSR:1:Calib:BallDiameter,Ball Diameter,FALSE,0,,
,,EM2K0:XGMD:GSR:1:GetDampLvlAB,Damping level,FALSE,0,,
,,EM2K0:XGMD:GSR:1:CheckRotPH,Restart too often alarm,FALSE,0,,
,,EM2K0:XGMD:GSR:1:GetSpeedCtlMode,Speed Control mode,FALSE,0,,
,,EM2K0:XGMD:GSR:1:GetGasTemperature,Temperature,FALSE,0,,
1,XGMD Keithley,,,,,,
,,EM2K0:XGMD:ETM:01:GetIntCycles,Integration Time,FALSE,0,,
,,EM2K0:XGMD:ETM:01:SelectCurrentRange,Current range Keithley 1,FALSE,0,,
,,EM2K0:XGMD:ETM:01:Reading,Current is changing Keithley 1,FALSE,0,,
,,EM2K0:XGMD:ETM:01:GetAvgCount,Reading to average Keithley 1,FALSE,0,,
,,EM2K0:XGMD:ETM:01:AvgEnable,Averaging on Keithley 1,FALSE,0,,
,,EM2K0:XGMD:ETM:01:PutDamping,Damping on Keithley 1,FALSE,0,,
,,EM2K0:XGMD:ETM:01:PutAutoRange,Autorange off Keithley 1,FALSE,0,,
,,EM2K0:XGMD:ETM:01:PutFunction,Measurement function Keithley 1,FALSE,0,,
,,EM2K0:XGMD:ETM:02:GetIntCycles,Integration Time,FALSE,0,,
,,EM2K0:XGMD:ETM:02:SelectCurrentRange,Current range Keithley 2,FALSE,0,,
,,EM2K0:XGMD:ETM:02:Reading,Current is changing Keithley 2,FALSE,0,,
,,EM2K0:XGMD:ETM:02:GetAvgCount,Reading to average Keithley 2,FALSE,0,,
,,EM2K0:XGMD:ETM:02:AvgEnable,Averaging on Keithley 2,FALSE,0,,
,,EM2K0:XGMD:ETM:02:PutDamping,Damping on Keithley 2,FALSE,0,,
,,EM2K0:XGMD:ETM:02:PutAutoRange,Autorange off Keithley 2,FALSE,0,,
,,EM2K0:XGMD:ETM:02:PutFunction,Measurement function Keithley 2,FALSE,0,,
1,XGMD chamber temperature,,,,,,
,,EM2K0:XGMD:RTD:1:TEMP_RBV,Temperature,FALSE,0,,
1,XGMD machine input data,,,,,,
,,EM2K0:XGMD:HPS:BeamRate,Beam rate,FALSE,0,,
1,XGMD ATCA system,,,,,,
2,XGMD ATCA digitizer,,,,,,
,,EM2K0:XGMD:HPS:NumSamples,Number of samples for pulse,FALSE,0,,
,,EM2K0:XGMD:HPS:AvgPhotonsPerPulse_1MIN_MIN,Peak of pulse,FALSE,0,,
,,EM2K0:XGMD:HPS:RunningAvgDisCycleNum,Background noise disable,FALSE,0,,
,,EM2K0:XGMD:HPS:PulseAutoScale,Auto-calculation activation,FALSE,0,,
2,XGMD timing system,,,,,,
,,TPR:FEES:GD02:0:RXLNKSTATUS,Timing status,FALSE,0,,
,,EM2K0:XGMD:HPS:TCRB1:OUTPUTCONFIG,Timing source,FALSE,0,,
,,TPR:FEES:GD02:0:TRG01_SOURCE,Calculation trigger source,FALSE,0,,
,,TPR:FEES:GD02:0:TRG01_SYS0_TCTL,Calculation trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG01_SYS0_TDES,Calculation trigger NC delay,FALSE,0,,
,,TPR:FEES:GD02:0:TRG01_SYS2_TCTL,Calculation trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG01_SYS2_TDES,Calculation trigger SC delay,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_SYS0_TCTL,Calculation channel NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_EVCODE,Calculation NC event code,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_RATE,Calculation event rate,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_SYS2_TCTL,Calculation channel SC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_DESTMODE,Calculation channel SC destination mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_DESTMASK,Calculation channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_RATEMODE,Calculation channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_SEQNUM,Calculation channel sequence engine,FALSE,0,,
,,TPR:FEES:GD02:0:CH01_SEQBIT,Calculation channel sequence bit,FALSE,0,,
,,TPR:FEES:GD02:0:TRG05_SOURCE,Full rate calc trigger source,FALSE,0,,
,,TPR:FEES:GD02:0:TRG05_SYS0_TCTL,Full rate calc trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG05_SYS0_TDES,Full rate calc trigger NC delay,FALSE,0,,
,,TPR:FEES:GD02:0:TRG05_SYS2_TCTL,Full rate calc trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG05_SYS2_TDES,Full rate calc trigger SC delay,FALSE,0,,
,,TPR:FEES:GD02:0:CH05_SYS0_TCTL,Full rate calc channel NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:CH05_EVCODE,Full rate calc channel NC event code,FALSE,0,,
,,TPR:FEES:GD02:0:CH05_SYS2_TCTL,Full rate calc channel SC enable,FALSE,0,,
,,TPR:FEES:GD02:0:CH05_DESTMODE,Full rate calc channel SC destination mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH05_DESTMASK,Full rate calc channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD02:0:CH05_RATEMODE,Full rate calc channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH05_FIXEDRATE,Full rate calc channel fixed rate,FALSE,0,,
,,TPR:FEES:GD02:0:TRG11_SOURCE,Diag bus trigger source,FALSE,0,,
,,TPR:FEES:GD02:0:TRG11_SYS0_TCTL,Diag bus trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG11_SYS0_TDES,Diag bus trigger NC delay,FALSE,0,,
,,TPR:FEES:GD02:0:TRG11_SYS2_TCTL,Diag bus trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG11_SYS2_TDES,Diag bus trigger SC delay,FALSE,0,,
,,TPR:FEES:GD02:0:CH11_SYS0_TCTL,Diag bus channel NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:CH11_EVCODE,Diag bus channel NC event code,FALSE,0,,
,,TPR:FEES:GD02:0:CH11_SYS2_TCTL,Diag bus channel SC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:CH11_DESTMODE,Diag bus channel SC destination mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH11_DESTMASK,Diag bus channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD02:0:CH11_RATEMODE,Diag bus channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH11_FIXEDRATE,Diag bus channel fixed rate,FALSE,0,,
,,TPR:FEES:GD02:0:TRG13_SOURCE,Waveform trigger source,FALSE,0,,
,,TPR:FEES:GD02:0:TRG13_SYS0_TCTL,Waveform trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG13_SYS0_TDES,Waveform trigger NC delay,FALSE,0,,
,,TPR:FEES:GD02:0:TRG13_SYS2_TCTL,Waveform trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:TRG13_SYS2_TDES,Waveform trigger SC delay,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_SYS0_TCTL,Waveform channel NC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_EVCODE,Waveform channel NC event code,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_RATE,Waveform event rate,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_SYS2_TCTL,Waveform channel SC enabled,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_DESTMODE,Waveform channel SC destination mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_DESTMASK,Waveform channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_RATEMODE,Waveform channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_SEQNUM,Waveform channel sequence engine,FALSE,0,,
,,TPR:FEES:GD02:0:CH13_SEQBIT,Waveform channel sequence bit,FALSE,0,,
1,XGMD Pre-Amplifier,,,,,,
,,EM2K0:XGMD:HPS:AMP_PREATTN_DIFF,PRE attennuator diff,FALSE,0,,
,,EM2K0:XGMD:HPS:AMP_POSATTN_DIFF,POS attennuator diff,FALSE,0,,
